# 未使用数据(仅供参考，非批次文件)
# 这里是当前剩余、尚未进入任何批次的评论。
# 每次运行 01_sampling_data.py 后本文件会被刷新。


[ID:鹰眼小胖子] [rating:1] 这样的游戏不关服什么游戏关服..一手好牌被策划打得稀巴烂,策划和腾讯肯定有仇

[ID:云网云网] [rating:1] 游戏名叫什么一起来抓妖,叫一起来广州啦..毫无体验感,辛苦几个月不如人家一天,嘉年华门票谁买不起.天天15块3张卷打Boos,呵呵…垃圾游戏

[ID:忧郁妖国] [rating:5] 让人无法抗拒的游戏.从游戏发布就开始玩了,现在有的朋友已经不玩了,但是我还是很喜欢,会陪捉妖同行.

[ID:jwgmpdjgtgwdgdgxd] [rating:1] 捉妖老玩家的忠告.这游戏我给他1颗星,因为最低也只能一颗星.这游戏评分不可能这么高的,游戏抓到高资就会让玩家去评论5星.真的是恶心.

[ID:无尽空虚它] [rating:1] 不如改名叫一起来嘉年华吧.不如改名叫一起来嘉年华吧

[ID:起灵丿] [rating:5] 不多比比.玩过的人都懂,垃圾游戏垃圾策划,

[ID:EsQs密] [rating:5] 这个游戏我会一直,因为它让我瘦了35斤～.为啥一直不给我金灵我要开图鉴～坑我

[ID:概率太低，非洲人自动远离] [rating:1] 不公平游戏.4月份玩这个游戏到现在,结果官方搞一次活动,让别人直接超越你几个月的努力,新人别玩着游戏了,真的很花时间,你辛辛苦苦跑出去日晒雨淋抓妖,赶不上别人在家吹空调满世界抓.这游戏一点都不适合玩.

[ID:李泽阳10] [rating:1] 不错不错.策划官方开挂,嘉年华线下活动两小时毕业,游戏每次活动bug不断,官方不做出回应只装死,活该现在没人玩

[ID:Xxllnice] [rating:1] 游戏很好,只可惜烂到底子里了..游戏题材可以给九分,经营结果给-10分.本来游戏是玩的舒服开心的,不是来被游戏恶心的,这游戏就经常感到莫名的恶心,极度恶心.本来一度不想退游,佛系就行了,无奈还是受不了,不见.一堆人说这是广州人的游戏,表示在广州的玩家一样玩的累,不是谁都有空去参加活动的.

[ID:上半年时间] [rating:1] 广州嘉年华NB.狗策划,你是脑子没了吗广州一天等于四个月全部的二百万铭文简直导致这个游戏的不平衡这个游戏到此为止了,AR也过不了关游戏还老是bug好人坏人都分不清辣鸡游戏卸游走了我冲nmb

[ID:最强策划] [rating:1] 一起来广州.广州2小时,赛过4个月.策划真的是棒棒哒.

[ID:装13神器重庆] [rating:1] 策划匹马.我他妈才不相信这游戏🈶️4.7分,垃圾

[ID:简单、bobo] [rating:1] 策划你快gǔn吧..有史以来见过最辣鸡的策划团队,很好的一个idea被玩成这鬼样,如果有负分,想准备打-10分,去你的广州捉妖吧.

[ID:玉兮歌] [rating:1] 广州捉妖.除了会骗钱……其他对外地一点也不友好

[ID:木都123] [rating:1] 腾讯游戏垃圾中的战斗机..充钱玩腾讯游戏就是喂了狗.骂了两句就取消我心悦V2资格.老子充了几万在腾讯就当给你们买棺材了.垃圾玩意.艹.

[ID:she is niave] [rating:1] 策划脑子不行.这游戏吃像丑陋,完全不顾玩家感受,给一星都算高了

[ID:鲁家小肃] [rating:1] 请原谅策划吧.毕竟他已经把全家都在嘉年华上放烟花放了,都是螺旋爆炸的…

[ID:15673gsueb] [rating:1] 快解封.你起码让我打完句芒boss再封我吧.花了128买的票放着好看啊.还是被人举报的.你大爷.策划NMSL.

[ID:maxMax可是] [rating:1] 换策划吧.题材不错.策划能力太差,单调的玩法,一堆恶心玩家的活动,破坏游戏平衡的活动.飞机外挂猖獗,治理.几乎没治理.各种bug前赴后继,修复还遥遥无期,能力不行,态度更不行.部分内部工作人员勾结工作室,提前泄密猫配方获利,造成普通猫玩家变相损失,520猫事件可以了解一下,游戏界的耻辱.是个坑,别进坑了,弃坑太多,游戏也凉的快.无能还作的团队,可惜了不错的题材.

[ID:佛系退游] [rating:5] 只要130就能实现全面超越的游戏.只要参加一次活动,就能超越氪金大佬,肝帝的精品游戏

[ID:炼妖秘录] [rating:1] 一起来广州捉妖.脑残策划广州嘉年华两小时毕业

[ID:chengyike] [rating:1] 嘉年华真好..别人4个月的努力,你一天就搞定,你真棒啊.......

[ID:拉比特 LEE] [rating:1] 地域歧视外挂横飞.这个带有严重地域歧视,分裂祖国各区域人民的游戏不配在这里伤中国玩家的心.每个玩家四个月拿着手机两眼发直的抓,最后被猖狂的开挂者欺负,工作人员对所有的举报要么就是一刀切要么就是全然置之不理,毫无平衡性可言.建议有关部门调查该游戏是否符合我国法律法规规定,严惩该游戏中强烈地域歧视的工作人员和玩家,守护祖国统一.

[ID:BigC0018] [rating:1] 坑钱坑人公告随便更改.这个游戏千万别玩,坑玩家坑钱,公告出了随便改,什么事都不兑现,而且bug一大堆

[ID:cswxin] [rating:1] 垃圾团队.一点不懂运营,活动不平衡,地域限制,定位挂满天飞

[ID:韩智远说好] [rating:1] 垃圾.垃圾游戏,傻子策划.是我们不开挂的玩家影响了游戏平衡,对不起

[ID:鸡肋垃圾这名字还不能用么] [rating:1] 废物超高说啥评价…….废物超高天天要评价,嗯,给你

[ID:不适合养成游戏] [rating:1] 辛辛苦苦四个月不如策划买章一俩天CHSM.策划私自卖猫,策划拒宅bug,打破平衡嘉年华,一天直接百万云纹跟神灵各种高资.游戏没规则,玩家玩的没人权

[ID:策划真会玩] [rating:1] 策划好样的.广州嘉联华抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗

[ID:大预言一] [rating:1] 一手好牌玩的稀烂.很明显的小作坊气息,用脚做游戏都干不出这些事儿

[ID:秘密丶巨蟹男] [rating:1] 垃圾中的战斗机.策划无脑,暗改数据,泄漏数据,苹果用户bug两个月多不修复,冷漠处理,饥饿营销,这游戏真垃圾,地域歧视网络暴力,外挂满天飞,官方不正视自己的错误,屡教不改,只顾着骗钱.

[ID:再见了小妖灵们] [rating:1] 因为我实在是太喜欢这款游戏我才会打一星.我永远也回不去四个月前的妖灵界,参加过嘉年华的玩家若干天可能都忘记自己的满资在哪个位置捕捉,而我却一直记住自己亲手捉的满资的那天.今天,我才意识到,我的努力和付出一文不值.如果你以后看到有一个人冒着雨去打神灵,捉巢穴,希望你能告诉他“回去吧,真的不值得”,谢谢你,这是我最后的请求,不要让这个世界多一个傻子,拜托你了.

[ID:装作漫不经心] [rating:1] 垃圾游戏.把号借别人玩都能封号.还有这破嘉年华.策划的父亲在种枇杷树

[ID:你是我的暖阳] [rating:1] 嘉年华好样的.无力吐槽嘉年华去广州你就可以各种毕业咯

[ID:星下奇缘] [rating:1] 嘉年华游戏.这个游戏线下开了个嘉年华,然后之前玩的都不然嘉年华一天抓的好,游戏策划可以辞职了吧.游戏都凉了,大家都退游了.大家没必要下载了

[ID:我吃番茄你吃蛋] [rating:5] 我4月11号开始玩的.现在不玩了,因为广州萌新一个下午超过了我

[ID:一只拖鞋花] [rating:1] 绝望.讲真的,经过这次广州活动,真的对这个游戏已经绝望了,我第一次把一个游戏里几个月的成果毁掉,真的坚持不下去,广州两个小时的时间,超越了我几个月的成果...

[ID:z犹豫] [rating:1] 垃圾游戏.嘉年华就算了,我TM一个非酋一直28+的小狐狸都没有,句芒也没有可以练的,亮彩都是废

[ID:挖出怎么都有人用] [rating:1] 我就是来看看这游戏多少人骂的.chnmsl

[ID:娱乐xxx] [rating:5] 不错.就是我想反馈一下我是一个高中生然后,一天玩两小时也差不多,但是就是开学后,早上七点多去学校,晚上九点四十到家,连登陆的机会都没有,也不能冒着生命危险把手机带去学校吧,哈哈哈所以我想建议系统稍微修改一下吧,祝游戏越做越好吧,加油

[ID:一起去广州抓妖] [rating:1] 垃圾游戏,脑残策划.第一次写评论,没入坑的朋友,千万千万不要玩,是我玩过最坑的游戏没有之一

[ID:y有意义日通过分] [rating:1] 垃圾策划傻x.垃圾策划垃圾圈钱游戏鉴定完毕,苹果应该给它下架.应该0分马德我是一分都不想给,不给一分不让发言.

[ID:黑色背景辐射军队句] [rating:1] 我想要把充到这游戏里的所有钱退回来.垃圾游戏,赶紧下架,把钱退回来,破坏了玩家间的平衡,引起玩家的公愤.严重损害了玩家的消费权益,骗取玩家消费,然后破坏平衡.这一切的罪恶之源都是来自那smch.

[ID:空城、ymr] [rating:1] 垃圾游戏.垃圾游戏辛辛苦苦玩了4个月抵不过去广州参加嘉年华2个小时.直接全满一堆云纹百万垃圾ch.nmsl.这破游戏玩个鸡

[ID:Skybvcjzhduanxiwidbw] [rating:1] 垃圾.坑比游戏,玩啦3-4个月没人家一天的活动多

[ID:策划gou到爆炸] [rating:1] 呵呵广州一起来捉妖吧..都没人玩了这游戏涼了

[ID:小琪～Amy] [rating:5] 捉到超高资的心.一直在玩这个游戏,现在最希望的就是捉到一只超高资的蝙蝠和画灵

[ID:星凝哎] [rating:1] 吃相太难看.打了一堆字,思来思去全删了.不值得.h

[ID:花钱啊要] [rating:1] 开始觉得挺好,越来越失望...真的失望.

[ID:SH1N-NG] [rating:1] 垃圾运营.一个嘉年华送那么多云纹,直接把我们这些不开外挂的肝玩家赶跑了,游戏是个好游戏就是运营没脑子,氪的金就当丢厕所里了.

[ID:检测软件] [rating:1] 嘉年华结束,再见,再也不见.一首凉凉,送给我曾经最热爱的手游

[ID:捉妖chs个m] [rating:1] chmbs.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都sima

[ID:策划司马丶东西] [rating:1] 策划司马丶东西.抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我五月抓

[ID:爱情太奢侈。] [rating:1] 欺诈消费.垃圾游戏,别人广州玩两个小时,顶别人玩4个月,引起地域纷争.

[ID:林尛辉] [rating:1] 游戏策划脑子被僵尸吃掉了吧..一次嘉年华活动福利顶过所有玩家3个月的努力,破坏游戏平衡,而且每次活动都在广州举办,涉嫌地域歧视,搞民族分裂.

[ID:bs策划gou] [rating:1] 垃圾.Sm策划,嘉年华玩nm呢,辛辛苦苦四个月,不及别人两小时

[ID:策划smsmsmsn] [rating:1] 垃圾游戏.地狱歧视两天嘉年华顶别人辛辛苦苦玩四个月

[ID:一个甜水果] [rating:5] 氪金游戏.这个游戏不在大城市市中心的就不要玩了因为根本抓不到东西平时自己身边的都是常见每天都是那几个如果有一个稀有的要走很远的路高资质出现概率0还有打神灵旁边没有擂台也是打不了的有擂台人少也是打不赢的打赢了也是养不起的好不容易出来一个神行打神灵的模式也没有参战卡参战卡只能用人民币买就是这样总的来说这是一个有地域歧视逼人氪金的游戏🙂

[ID:不想玩我叫Mt了啊以后] [rating:1] 不良游戏.首先这游戏灵石系统就是引诱玩家赌博,赌资就是开石的唤灵器,而且赌博概率完全隐秘不靠谱,严重违反了网络游戏抽奖的法律法规.其次,策划脑袋属实有问题,想钱想疯了,开服第一批玩家辛苦4个月连着风吹日晒带充钱的所有辛苦劳动成果,被他策划的第一次嘉年华活动一天的成效就给充分的抵消了.且本次嘉年华活动及前两次时间boss返场活动,带有及其鲜明突出的地域歧视.这是在往所有充值的玩家心上扎刀子.游戏体验度极差.呼吁大家及时退坑,且新手勿入.这游戏不充钱玩不了,充钱的农村人也玩不了.在策划心里除了上海人,广州人其它省市人全是农村人.

[ID:广州来捉妖！哈哈哈笑了] [rating:1] 广州来捉妖.up我.818圣战,无数开挂的勇士来广州观礼官方嘉年华开私服.最脑残的策划没有之一,好好地一款游戏被带崩.地域歧视,不尊重全国玩家.

[ID:广州来捉妖] [rating:1] 垃圾游戏脑残ch.3个月抓了150只怪,没人家一天抓的好,神灵打了几个月没出的不如人家一天抓的下脚料,同样是花钱,花了更多的钱.凉凉吧你

[ID:贱贱长大] [rating:1] 差评.一起来广州捉妖,幸幸苦苦4个月,不如广州两小时

[ID:高姿态浅唱] [rating:1] 2019最后悔玩的就是这个游戏.垃圾策划

[ID:辣鸡游戏，别玩了] [rating:1] 腾讯真的够无耻,坑了这么多玩家,还在刷评分.垃圾游戏大家不要玩..哈哈哈,垃圾垃圾不要玩.玩了就后悔.

[ID:第六十五区捉妖师] [rating:1] 辣鸡游戏骗氪.辣鸡游戏人家两小时嘉年华追上我四个月进度

[ID:阳阳呀变更] [rating:1] 涉嫌地域歧视.垃圾游戏,开活动存在地域歧视.

[ID:千春zz] [rating:1] 下架吧垃圾游戏.抓妖两万八,满资只抓仨广州嘉年华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗,策划都s🐎

[ID:Lilysa33] [rating:1] 游戏体验感太差.游戏体验感太差,策划太没水平,严重不公平,影响玩家的的游戏体验感.建议腾讯下架该游戏.

[ID:破开健康危机] [rating:1] 就留给广州人玩吧.捉妖搞成这样,我还挺失望的,记得刚开服,是清明前后吧,刚做完手术,不大好动弹,拿着手机在过道上,找初始附近的怪,护士看我就像看傻子.小手术,第二天我就偷偷溜出去,在旁边清凉山公园还晃了两天,之前捉妖1W多,没全满,每次灵石都充值开出来都是什么我也不想多说,若非后面出星移给了个垃圾满资,那么至今那个图卷还是灰色.当时我还是无所谓的,大不了耗时间呗,现在玩这么一出,好嘛,半天抵得上绝大多数陆军玩家四个月的收获.各种反智设计,这游戏,不值得,想氪金也别玩这款,这段话写完我就去申请退款卸载,爱谁谁吧,难听的话我也不讲了,祝你们做一款死一款吧.

[ID:我拉去附和] [rating:1] 一起来广州.这个游戏叫一起来广州,辛辛苦苦四个月不如人家两天,睿智策划sm

[ID:阿魄] [rating:1] 非常垃圾.没有碰到过一个游戏的营运有如此垃圾的策划

[ID:一起抓CH亲妈] [rating:1] 垃圾游戏,垃圾游戏,垃圾游戏,垃圾游戏.垃圾游戏,垃圾游戏,垃圾游戏,垃圾游戏垃圾游戏,垃圾游戏,垃圾游戏,垃圾游戏垃圾游戏,垃圾游戏,垃圾游戏,垃圾游戏垃圾游戏,垃圾游戏,垃圾游戏,垃圾游戏垃圾游戏,垃圾游戏,垃圾游戏,垃圾游戏

[ID:策划是个孤儿] [rating:1] chnmsl.地域歧视.差那两百块好好的一个游戏你玩成这样

[ID:输入昵称hdhjxifyjsi] [rating:1] 不建议下载.以前游戏告诉我们,穷不要玩游戏.这个游戏告诉我,除广州以外的,不配玩游戏.

[ID:monkey丶哈哈] [rating:1] 垃圾游戏,求苹果下架.垃圾游戏,毫无平衡性,地域歧视,求苹果下架这游戏.

[ID:芦苇还是有脚本] [rating:1] 策划家里人没了.这个嘉年华把策划家里人都送出去了

[ID:吾乃刁民] [rating:1] 欺骗消费者,消遣玩家.还充什么钱,老子等你嘉年华过来

[ID:累垮天天肝] [rating:1] 这游戏在分化中国.这个就是大家一起来广州抓妖.

[ID:已经不小心] [rating:1] 垃圾游戏.垃圾游戏,垃圾策划,欺骗消费者,运营策划都是不带脑子.侵害消费者权益,搞地域歧视.

[ID:忽闪忽闪2485] [rating:1] 官方存在故意破坏游戏平衡现象.游戏真好玩

[ID:、！、。] [rating:1] 太假了.一次嘉年华把一小地方一小部分人两小时比全国玩家四个多月的努力还历害,这是一个官方开挂把全国人民玩死的,还明显带有地域歧视,建议下架封停整改,我们要求相对公平的游戏环境

[ID:咸鱼啦] [rating:1] 这嘉年华牛批.本来还有个朋友玩现在一个都没了

[ID:咫尺的力量] [rating:1] 搞地域歧视嘛.不如叫去广东捉妖啊,你们一个嘉年华捉的满资比我们玩了几个月都多,不让人玩就直说呗,真是脑残ch

[ID:逢桥夜泊] [rating:1] 垃圾游戏,垃圾策划.氪金四个月不如新手俩小时,60几个全满的.一星都不想给,句芒那么多几千浮印.弃游弃游

[ID:小姚啊小姚] [rating:1] 退游了..面相全国的游戏竟然搞地区福利,不玩也罢.

[ID:为什么跟新之后进不去？] [rating:1] 差差差,捉几个月抵不上一个嘉年华两小时..太垃圾了,地域黑的游戏

[ID:。d c d f] [rating:1] 玩这个游戏千万别充钱.一个嘉年华毁掉的游戏

[ID:抓妖CHsima] [rating:1] 很不合理的游戏.机制很垃圾,对玩家区别对待.游戏资源分布存在地域歧视.策划会随便开后门给部分玩家使得游戏变成部分玩家的私服,普通玩家几个月的努力成果因为策划的行为部分玩家几小时就可以达成.很不公平不合理不平衡

[ID:独有风格] [rating:1] 一天抵四个月.垃圾策划,脑子突破天际,一波波坑钱,一波波劝退,是我玩过做垃圾的游戏,比网页游戏都差,小作坊游戏

[ID:垃圾软件完全不能注册] [rating:1] 垃圾游戏sm策划.嘉年华一次活动顶你开服玩到现在氪金道具免费送送完被喷以后直接取消😏520内部人员勾结工作室屯猫赚取玩家钱,嘉年华工作人员卖卖章给飞机（我们坚决杜绝外挂哦～嘉年华拒绝飞机哦～.全tm把玩家蛋sb

[ID:陈陈陈超人脑] [rating:1] chsm.游戏是好游戏chsm好多亿的市场不要去赚100w的门票真是有经济头脑呢

[ID:酷乐喵喵] [rating:1] 鬼才策划.没见过这么无脑的策划,圈钱都不会,很好的题材整成这样,策划全家暴毙完事了

[ID:二的日子的] [rating:1] 垃圾游戏chsm.外挂不封也就算了,出的这什么鬼嘉年华,考虑过氪金玩家的利益吗.早点凉凉的好

[ID:来杂志中零] [rating:1] 一星都不想给.如果不是没有零星,我一星也不想给

[ID:粟米仔] [rating:1] 真失望.身边很多人一起开始玩,只有我坚持了4个月,至今,8月18号.我有4只满资,全部都是灵石开出来的.分别是狼,花无邪,水龟,九郎.有一只金灵和2只雨.曾经试过为了肝游戏被罚款200……充值大概充了5600.没想到,我一时的犹豫,没买嘉年华的票,就被抛得那么远.真是够了,这游戏太失平衡了,简直是个bug.

[ID:yqlgz] [rating:1] 不要玩一起来广州.地域歧视,bug多,线上线下差距过大怎么玩呢

[ID:第一次在app被这个香蕉骗] [rating:1] 一起来广州.垃圾游戏.垃圾腾讯.垃圾嘉年华

[ID:I逐风I] [rating:1] 垃圾嘉年华策划死全家.本来打了有几百字血喷的评论,最后删掉了,多说无益,删了游戏,没玩家的游戏可以归类到单机游戏就挺好的.游戏没有平衡性,又说多了,怒火出不来发不完的感觉,不说了退游删除了.再见吧狗策划

[ID:果冻沙拉] [rating:1] 欢迎来到一起来广州.本游戏除广州人外都不配玩.广州一天.抵你120天

[ID:这么近o0] [rating:1] 广州两小时等于四个半月记住这个可耻的日子.广州两小时等于四个半月记住这个可耻的日子

[ID:初夏去看海] [rating:1] 游戏体验贼差,毫无公平可言.说到一起来捉妖,我一直很喜欢这个游戏,在游戏的同时能够锻炼身体,同时也不失体贴的行走的锁定和开车不玩的提示,后来经历了飞机党横行,每个游戏都有外挂,这样的飞机挂不瞒您说我也开过,很方便,可这影响了玩家的游戏体验,所以一开始411的号被封了,我不说什么.于是,又开始了肝帝之旅,我辛辛苦苦抓了三万多妖,才四个满资,44级16万战力,句芒30＋是我的骄傲,可是嘉年华两小时便超过了我全部积蓄.能够不顾生活不顾工作前去面基的玩家令我佩服,官方能够迅速对无数网友的骂名作出回应（虽然不过敷衍了事）,我觉得到也无可厚非.在有些时候也许是我们喷子太过于激烈.本想如此的我,在看到群里这样的图片时,我忍不住来发了这条帖子,你们所谓的辟谣不过是警告那些犯错的工作人员,你们所谓的辟谣,只是不想让当初520猫事件再一次对你们的信誉造成影响.如果不找出这个工作人员,不把那些非法参与嘉年华的人找出来,你这禁止飞机的嘉年华,又有何存在的意义.不进行内部整顿,只会把我所喜爱的ar游戏推入深渊.

[ID:yuyuyuyuyy2] [rating:1] 臭垃圾游戏.把玩家耍着玩的策划都没🐎,祝捉妖策划早日暴毙

[ID:遗忘天下] [rating:1] 一星都不想给,体验最差的一款游戏.垃圾CH

[ID:bysosohuhff654] [rating:1] 策划脑壳被夹了..广州嘉年华,两小时顶你玩两个月.游戏不公平.

[ID:改名玄学当欧皇] [rating:1] 嘉年华活动做的真好.好到运营策划都可以睡四四方方的木头床

[ID:号飞船 v] [rating:1] 良心4月玩家.一个嘉年华130抵了4个月的努力,一起来广州,各种bug各种暗改只会道歉,只有垃圾到极点的赔偿,10云纹.喂狗呢.除了骗钱还是骗钱,早日被封,感谢

[ID:Zh4040] [rating:5] 策划看看吧,妖灵缺少个性化比较乏味.妖灵可以出一个性化的系统-性格系统,比如你抓到妖灵后,会随机给这个妖灵一个性格,性格可以有几十种,每个性格有不同的属性,每个属性有不同的数值.这样就不会乏味了.擂台和pk也会因为妖灵的性格属性,战斗时每个同样的妖灵也会有不一样的结果.

[ID:；hytd] [rating:1] 垃圾CB.ch不知咋想的,广州嘉年华半天顶得过老玩家4个月的努力,破坏游戏平衡

[ID:菊灿灿] [rating:1] 一塌糊涂.为了圈钱恶意手段无所不用其极赶紧下架永远不得回来

[ID:收拾收拾睡的] [rating:1] 提醒想下载这个游戏的.好游戏遇上傻策划,想入坑的别来了,越玩越恶心

[ID:一起来广州啊] [rating:1] 一起来广州啊.别再说广东人了,广东人口10900万,人家那是广州,广州还有1500万人呢……官方垃圾服务器,买票都买不到的广州人大把的好吧.对,广州一日游顶你们全国玩家的从开服到现在.一天7.80个满资……百万云纹……各种五星boss直接毕业,还需要买门票打.直接升到顶级,再养个7.8只没问题...策划就是一（）（）..填空题交给你们了...飞不飞机的我也无所谓,我看到飞机党一坐电脑前3.4个小时……累不累也只有飞机党知道,我感觉比玩端游还辛苦,再说了,没飞机党打5星boss人都筹不到～但是你策划就牛x了……直接改到打破游戏平衡,一天毕业,昨天回来的一晚上时间占20几个擂台……我服气...我玩不起,我自己退出～居然还要我们理性看待问题,那就是我们的错咯.你能不能照照镜子看看你的嘴脸.圈钱真恶心,前一段时间填表调查,马上就出月卡,来呀来呀,25块买钻石升妖呀..～最后,请大家别再地域黑,错不在我们广东人,广东人也有大把抢不到票去不到的,个园子就那么大,能够容纳多少人.而且拖此次勾策划副,影响的全是广东的擂台……唉,广东人太难了.拒绝地域黑,但是骂勾策划没毛病.

[ID:鸽了下饭] [rating:1] 出补偿前不考虑平衡问题吗..举办嘉年华活动,作为举办方没有考虑各个方面会产生的问题吗.一点备用方案都没有吗.那最起码现场应急补偿奖励的东西要有点脑子吧.这是我玩过最不成熟的一款游戏.封不完的挂.改不完的BUG.发个公告还屡屡出现错别字.也没谁了.

[ID:古三山] [rating:1] 好好地游戏被运营玩废了..不患寡而患不均.自己作死破坏游戏平衡,却要玩家一起承担后果,毕竟是有情怀的.真是垃圾,垃圾,垃圾

[ID:会想你啊] [rating:1] 垃圾游戏圈地自萌,你家游戏花130可以追上4个半月的努力.玩过很多腾讯游戏,这是最垃圾的一个,bug一堆,外挂一堆,ch不作为,贴吧一群洗地的,不能说这游戏不好的,一说就封你号,这是我见过最垃圾的游戏运营

[ID:uther_wang] [rating:1] 辣鸡游戏.骗子,变态的策划,心理有疾病.这种人早晚被打死在大街上

[ID:时光走散故人o] [rating:1] 1星,是给玩家的..这个游戏的玩家,是真的不容易～

[ID:笊笊33333333333] [rating:1] 说实话,一分都不想给,诈骗游戏.策划牛逼.顶你个肺啊.

[ID:酱子啊啊啊啊啊啊] [rating:1] 不是广州的不要玩了.我们老玩家40几级,玩到现在四个多月,广州的半天就是我们老玩家的几个月,玩个死,策划师死妈抓妖两万八,满资只抓仨广州嘉联华,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我五月抓

[ID:Rikki211] [rating:2] 江湖不见.没啥好说,准备退坑了.玩了三四个月了,41级连上活动给的,满资就三个.辛辛苦苦走了十几公里,灵石摇出来的全部都还不如我随手在街边抓的.接连几次拒宅日毫无新意.活动出现的妖毫无吸引力不说,大热的天去参加活动了,一只能发牌子的高资的都没有.分数低的当粮都觉得可怜,路边偶遇抓到的资质普遍都比活动的高,我还干嘛来参加你这个活动.这次嘉年华又是新妖又是高资的.但和广州以外地区的各位完全没啥关系.外地朋友就是想去,但一个周末为了个游戏跑那么远真不至于,咱还有工作生活呢.也不提飞机党开挂作弊多啥的了.这游戏我就当他是个单机,别人咋样都无所谓了.诸多不满累积,这游戏玩的既不平衡也不开心.散了算了,江湖不再见.

[ID:小懒君丶] [rating:1] 垃圾策划.别人去嘉年华一天比我四个月的努力都多

[ID:金钻大] [rating:1] 策划你是广州人吗..从公测开始玩的玩家,累死累活抵不过一次嘉年华人家两小时的收获,策划脑子是被驴踢了吗...

[ID:xinzinohh] [rating:1] 赶紧下架吧.嘉年华前三个月卸的游戏,因为到考试周了.身边的朋友都能看到我用心的在玩,为了抓妖跑好几个地方一抓就抓一下午.后来嘉年华事件出了之后我想说还好游戏卸得早这种游戏估计也活不了多久…没内涵建模粗糙妖灵背景单薄靠着pokemongo的ip做这么割韭菜的游戏去了嘉年华的朋友也别觉得自己赚了,这么大规模退游退款的趋势下,游戏是做不好的,玩家只会越来越少,游戏质量和更新速度也会下降见证了n多个从出生到死亡的手游,腾讯最近的龙族幻想和一起来捉妖都无疑是失败的劣质产品.祝各位玩家早日脱坑

[ID:放弃1334] [rating:1] 这是一个很牛批的游戏.普通游戏开外挂是为了更好的玩下去,但是这个游戏的嘉年华能让外挂都玩不下去.太牛批了

[ID:捉妖狗策划司马] [rating:1] 一起去广州.一天抵别人四个月：还在打神灵么.还在每天找星移一次限定的伙伴.你还担心没超资妖么.不用怕,只要来广州,不用一个月,不用一个星期,也不用一天,只要2小时全部毕业.论广州嘉联华抓妖两万八,遍地三十加灵力无限给,满资一球抓只要两小时,全部毕业拉抓妖无上限,云纹随便刷半天百来万,顶我半月抓充钱全喂狗

[ID:提线木偶DOLL] [rating:1] 广州嘉年华活动实力劝退.我们辛辛苦苦一天18块钱买三个票的人是傻子吗.耍我们吗.

[ID:268246683555] [rating:1] 辣鸡游戏.一个嘉年华赶得上四个月所得,司马策划为了钱都已经不要脸了

[ID:黑皮小猪佩奇] [rating:1] 垃圾游戏.不值得玩,黑幕太多,严重影响游戏平衡,游戏体验感很差,互动性极低

[ID:qeerttii] [rating:1] 我玩了四个月没有别人一个上午抓得满资多.垃圾游戏策划死全家

[ID:小明明明2638] [rating:1] 谁入坑谁傻嗨,不要下载了.我保证任务没人带什么你都玩不了.游戏策划已经死了.垃圾游戏垃圾游戏垃圾游戏

[ID:呵呵呵哈哈哈有意思么] [rating:1] 牛批puls.此游戏.这么迫害平衡也能玩,大家iOS退钱走起

[ID:策划祭天垃圾游戏] [rating:1] 地域歧视.小作坊游戏各种坑策划垃圾地域黑

[ID:成陌ll] [rating:1] 垃圾游戏.我玩了十几秒的游戏,这真的是我碰到运营策划,让玩家玩得最累,最没劲,最不值得的一款游戏,没有之一,老子白给你话那么多钱,不会考虑玩家游戏的负担,一条捉妖少少花四五个小时,游戏玩法每天除了机械抓妖抓妖还是抓妖,我是这个城市的等级和战斗力长期第一,全省也能排前几.花了那么多时间金钱,除了金灵,雨收玉花钱都未必抽得到的,其他全是超资,全满妖,你开个嘉年华活动两天就给别人参加的玩家一天追平我几个月的付出,不会策划,不会运营就辞职,别糟蹋玩家的心血.

[ID:暗号细细个] [rating:1] 劝大家不要下载.打着情怀出的游戏,本来题材是不错的,可惜的是运营的策划团队,每次更新每次出bug,活动有独家黑幕出现,内部工作人员泄露配方（520猫）小的bug迟迟一个月处理不了（火龟颜如玉）,圈钱的错误立马给你改好,最近还来个只要2天260元,即可全图鉴满资质百万铭文,把一堆辛辛苦苦玩了四个月的忠实玩家逼退,游戏直播玩家直播退游放归妖灵.不怕闹心的人可以体验一下,绝对有惊无喜

